metric,true_mean,false_mean,true_std,false_std,mean_diff,mann_whitney_stat,p_value,cohens_d,true_count,false_count
uid_variance_equal,0.1423822677501538,0.14058900127850238,0.02854619248298991,0.018335941703641306,0.001793266471651428,23007.0,0.4133832640867807,0.06827200491929883,369,131
uid_gini_equal,0.20956029610211482,0.19429243487844736,0.08187428147727782,0.09095841158956898,0.015267861223667467,27325.0,0.026360060389538018,0.18102738509908972,369,131
uid_shannon_equal,0.864833100963343,0.8856235720109039,0.08019551705925158,0.0895063020166957,-0.020790471047560932,17959.0,1.234866525744865e-05,-0.25131367969498036,369,131
uid_variance_logprob,1.0,1.0,2.1240763251207444e-16,1.7336769886291313e-16,0.0,22785.5,0.31078155100644167,0.0,369,131
uid_gini_logprob,0.2089589117842936,0.19502423255939766,0.07714620009249673,0.07272626850820224,0.01393467922489594,26863.0,0.05800568985793733,0.18330957200210843,369,131
uid_shannon_logprob,0.939679206589887,0.9407543204814873,0.045369684695779997,0.05066448241559675,-0.00107511389160031,22587.0,0.2654506216487704,-0.022967777470919364,369,131
uid_variance_confidence_gap,1.0,1.0,2.1561603404157378e-16,1.7608097323529675e-16,0.0,23768.0,0.7683108070912915,0.0,369,131
uid_gini_confidence_gap,0.24205834700854897,0.23014204937415714,0.0720369440326352,0.08410810963529458,0.011916297634391837,27408.0,0.022649773320636148,0.1580940501390015,369,131
uid_shannon_confidence_gap,0.855747617500865,0.8810430480799162,0.08468954455689019,0.08796840139650668,-0.025295430579051148,17245.0,1.0939540947544242e-06,-0.2956538412434184,369,131
uid_variance_entropy,1.0,1.0,2.0206364052201326e-16,1.9788532088841335e-16,0.0,24817.5,0.6357098192812323,0.0,369,131
uid_gini_entropy,0.40933988049452424,0.39066842155827103,0.07669266935419317,0.07911549687048293,0.018671458936253216,27628.0,0.014926673633004546,0.24144401857449807,369,131
uid_shannon_entropy,0.8700949978012047,0.8941010560807893,0.10337394279529999,0.08384386852094615,-0.024006058279584574,18842.0,0.00017699076616546766,-0.24334733293303967,369,131
